"","X1","fico","dt_first_pi","flag_fthb","dt_matr","cd_msa","mi_pct","cnt_units","occpy_sts","cltv","dti","orig_upb","ltv","int_rt","channel","ppmt_pnlty","prod_type","st","prop_type","zipcode","id_loan","loan_purpose","orig_loan_term","cnt_borr","seller_name","servicer_name","flag_sc"
"6703",220030,718,201801,"N",204712,21300,30,1,"P",95,31,215000,95,4.375,"R","N","FRM","NY","SF","14800","F117Q4220030","P",360,1,"QUICKENLOANINC","QUICKENLOANINC",NA
"6704",220047,678,201802,"9",204801,NA,0,1,"I",56,24,108000,56,4.99,"R","N","FRM","NY","SF","12000","F117Q4220047","C",360,1,"QUICKENLOANINC","QUICKENLOANINC",NA
"6705",220056,788,201801,"9",204712,35614,0,1,"P",48,33,250000,48,4.25,"R","N","FRM","NY","SF","10300","F117Q4220056","N",360,1,"QUICKENLOANINC","QUICKENLOANINC",NA
"6706",220071,687,201802,"9",204801,13780,0,1,"P",80,42,124000,80,4.75,"R","N","FRM","NY","SF","14800","F117Q4220071","C",360,1,"QUICKENLOANINC","QUICKENLOANINC",NA
"6707",220079,700,201802,"9",204801,35004,0,1,"I",31,45,211000,31,4.56,"R","N","FRM","NY","SF","11700","F117Q4220079","C",360,1,"QUICKENLOANINC","QUICKENLOANINC",NA
"6708",220086,696,201802,"9",203801,35614,0,1,"P",62,35,210000,62,3.625,"R","N","FRM","NY","SF","10500","F117Q4220086","N",240,2,"QUICKENLOANINC","QUICKENLOANINC",NA
"6709",220096,790,201802,"9",204301,15380,0,1,"P",73,45,177000,73,4.375,"R","N","FRM","NY","SF","14200","F117Q4220096","N",300,2,"QUICKENLOANINC","QUICKENLOANINC",NA
"6710",220118,798,201801,"9",204712,15380,0,1,"I",46,40,67000,46,4.25,"R","N","FRM","NY","SF","14200","F117Q4220118","C",360,1,"Other sellers","Other servicers",NA
"6711",220171,741,201802,"9",204801,28740,0,1,"P",53,17,195000,53,4,"B","N","FRM","NY","SF","12400","F117Q4220171","C",360,1,"UNITEDSHOREFINANCIAL","UNITEDSHOREFINANCIAL",NA
"6712",220238,726,201802,"Y",204801,35004,0,1,"P",39,41,2e+05,39,3.875,"B","N","FRM","NY","SF","11700","F117Q4220238","P",360,1,"FAIRWAYINDEPENDENTMT","MATRIXFINANCIALSERVI",NA
"6713",220239,775,201802,"N",204801,35004,12,1,"P",85,44,350000,85,3.875,"B","N","FRM","NY","SF","11000","F117Q4220239","P",360,1,"FAIRWAYINDEPENDENTMT","MATRIXFINANCIALSERVI",NA
"6714",220279,778,201802,"9",203301,35614,0,2,"P",66,40,350000,66,3.75,"R","N","FRM","NY","SF","10300","F117Q4220279","C",180,1,"Other sellers","Other servicers",NA
"6715",220400,706,201801,"N",204712,46540,0,1,"P",80,22,64000,80,4.125,"R","N","FRM","NY","SF","13400","F117Q4220400","P",360,2,"Other sellers","Other servicers",NA
"6716",220452,805,201802,"9",203301,40380,0,1,"P",80,36,163000,80,3.375,"R","N","FRM","NY","SF","14500","F117Q4220452","C",180,1,"Other sellers","Other servicers",NA
"6717",220504,729,201801,"N",204712,NA,0,1,"P",80,32,120000,80,4,"R","N","FRM","NY","SF","14700","F117Q4220504","P",360,2,"Other sellers","Other servicers",NA
"6718",220613,793,201802,"Y",204801,10580,0,1,"P",80,22,142000,80,3.875,"R","N","FRM","NY","SF","12200","F117Q4220613","P",360,2,"Other sellers","Other servicers",NA
"6719",220614,804,201802,"9",203301,10580,0,1,"P",67,42,205000,67,3.125,"R","N","FRM","NY","SF","12000","F117Q4220614","C",180,2,"Other sellers","Other servicers",NA
"6720",220870,662,201802,"9",203801,10580,0,1,"P",76,38,190000,76,4.25,"R","N","FRM","NY","SF","12000","F117Q4220870","C",240,2,"Other sellers","Other servicers",NA
"6721",220871,664,201802,"Y",204801,10580,0,1,"P",80,28,64000,80,3.875,"R","N","FRM","NY","SF","12100","F117Q4220871","P",360,1,"Other sellers","Other servicers",NA
"6722",220872,796,201802,"9",204801,10580,0,1,"P",55,26,4e+05,55,3.875,"R","N","FRM","NY","SF","12800","F117Q4220872","C",360,2,"Other sellers","Other servicers",NA
"6723",220943,774,201802,"N",204801,35614,0,1,"P",61,43,365000,61,3.99,"B","N","FRM","NY","SF","10900","F117Q4220943","P",360,1,"LOANDEPOTCOM,LLC","JPMORGANCHASEBANK,NA",NA
"6724",220973,661,201802,"9",204801,NA,0,1,"S",74,41,225000,74,4.5,"R","N","FRM","NY","SF","13000","F117Q4220973","C",360,1,"Other sellers","Other servicers",NA
"6725",220989,783,201802,"9",203301,NA,0,1,"S",75,41,240000,75,3.25,"B","N","FRM","NY","SF","12500","F117Q4220989","C",180,2,"CALIBERHOMELOANS,INC","CALIBERHOMELOANS,INC",NA
"6726",221048,778,201802,"N",203801,NA,0,1,"P",80,36,103000,80,3.75,"R","N","FRM","NY","SF","14800","F117Q4221048","P",240,2,"Other sellers","Other servicers",NA
"6727",221075,745,201802,"N",204801,35614,0,1,"P",80,42,5e+05,80,3.99,"B","N","FRM","NY","SF","10300","F117Q4221075","P",360,1,"CALIBERHOMELOANS,INC","CALIBERHOMELOANS,INC","Y"
"6728",221379,736,201802,"Y",204801,46540,30,1,"P",95,36,127000,95,3.875,"R","N","FRM","NY","SF","13300","F117Q4221379","P",360,1,"Other sellers","Other servicers",NA
"6729",221385,774,201802,"Y",204801,10580,0,2,"P",80,19,103000,80,4.125,"R","N","FRM","NY","SF","12100","F117Q4221385","P",360,2,"Other sellers","Other servicers",NA
"6730",221402,811,201802,"N",203301,35004,0,1,"P",70,24,530000,70,3.875,"R","N","FRM","NY","SF","11700","F117Q4221402","P",180,1,"Other sellers","Other servicers","Y"
"6731",221406,711,201801,"N",204712,10580,12,1,"P",85,42,156000,85,4.125,"R","N","FRM","NY","SF","12100","F117Q4221406","P",360,2,"Other sellers","Other servicers",NA
"6732",221485,719,201802,"Y",204801,35614,0,2,"P",80,46,592000,80,4.375,"R","N","FRM","NY","SF","11400","F117Q4221485","P",360,2,"Other sellers","Other servicers","Y"
